ord,bid,name,idx,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
0,5,cloth_0,0,1.27,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,6,cloth_1,1,1.3299999986588955,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,7,cloth_2,2,1.27,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,8,cloth_3,3,1.389999997317791,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,9,cloth_4,4,1.3299999986588955,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,10,cloth_5,5,1.4500000071525574,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,11,cloth_6,6,1.389999997317791,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,12,cloth_7,7,1.509999994635582,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,13,cloth_8,8,1.4500000071525574,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,14,cloth_9,9,1.570000011920929,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,15,cloth_10,10,1.509999994635582,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,16,cloth_11,11,1.6300000143051148,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,17,cloth_12,12,1.570000011920929,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,18,cloth_13,13,1.6899999868869782,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,19,cloth_14,14,1.6300000143051148,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,20,cloth_15,15,1.749999989271164,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,21,cloth_16,16,1.6899999868869782,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,22,cloth_17,17,1.8100000214576721,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,23,cloth_18,18,1.749999989271164,0.8099999986588955,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
